step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
106,Binary classification,Logistic regression,Bananas,0.49056603773584906,0.325,0.004187583923339844,0.003562
212,Binary classification,Logistic regression,Bananas,0.5141509433962265,0.3757575757575758,0.004187583923339844,0.01031
318,Binary classification,Logistic regression,Bananas,0.5188679245283019,0.41379310344827586,0.004240989685058594,0.020234000000000002
424,Binary classification,Logistic regression,Bananas,0.5165094339622641,0.39528023598820067,0.004240989685058594,0.033069
530,Binary classification,Logistic regression,Bananas,0.5320754716981132,0.35751295336787564,0.004240989685058594,0.048798
636,Binary classification,Logistic regression,Bananas,0.5377358490566038,0.3225806451612903,0.004240989685058594,0.067415
742,Binary classification,Logistic regression,Bananas,0.5525606469002695,0.29957805907172996,0.004240989685058594,0.088857
848,Binary classification,Logistic regression,Bananas,0.5518867924528302,0.27203065134099613,0.004240989685058594,0.11310700000000001
954,Binary classification,Logistic regression,Bananas,0.5545073375262054,0.25044091710758376,0.004240989685058594,0.14022
1060,Binary classification,Logistic regression,Bananas,0.5613207547169812,0.23393739703459634,0.004240989685058594,0.17014800000000002
1166,Binary classification,Logistic regression,Bananas,0.5600343053173242,0.216793893129771,0.004240989685058594,0.20279400000000003
1272,Binary classification,Logistic regression,Bananas,0.5605345911949685,0.21378340365682133,0.004240989685058594,0.23820500000000003
1378,Binary classification,Logistic regression,Bananas,0.5638606676342526,0.20185922974767595,0.004240989685058594,0.276335
1484,Binary classification,Logistic regression,Bananas,0.5640161725067385,0.19023779724655818,0.004240989685058594,0.317183
1590,Binary classification,Logistic regression,Bananas,0.5641509433962264,0.17988165680473372,0.004240989685058594,0.360815
1696,Binary classification,Logistic regression,Bananas,0.5654481132075472,0.17283950617283952,0.004240989685058594,0.407176
1802,Binary classification,Logistic regression,Bananas,0.5621531631520533,0.16507936507936508,0.004240989685058594,0.45625699999999997
1908,Binary classification,Logistic regression,Bananas,0.5581761006289309,0.1628599801390268,0.004240989685058594,0.508114
2014,Binary classification,Logistic regression,Bananas,0.551142005958292,0.16141001855287568,0.004240989685058594,0.562696
2120,Binary classification,Logistic regression,Bananas,0.5490566037735849,0.16433566433566435,0.004240989685058594,0.619996
2226,Binary classification,Logistic regression,Bananas,0.5480682839173405,0.17675941080196397,0.004240989685058594,0.680064
2332,Binary classification,Logistic regression,Bananas,0.5480274442538593,0.19295558958652376,0.004240989685058594,0.74285
2438,Binary classification,Logistic regression,Bananas,0.5467596390484003,0.19636363636363635,0.004240989685058594,0.808359
2544,Binary classification,Logistic regression,Bananas,0.547562893081761,0.2132604237867396,0.004240989685058594,0.8768400000000001
2650,Binary classification,Logistic regression,Bananas,0.5449056603773584,0.22293814432989692,0.004240989685058594,0.9481130000000001
2756,Binary classification,Logistic regression,Bananas,0.5391872278664731,0.22560975609756098,0.004240989685058594,1.022151
2862,Binary classification,Logistic regression,Bananas,0.5387840670859538,0.22716627634660422,0.004240989685058594,1.099032
2968,Binary classification,Logistic regression,Bananas,0.5407681940700808,0.22336182336182334,0.004240989685058594,1.521331
3074,Binary classification,Logistic regression,Bananas,0.5400130123617437,0.21878453038674034,0.004240989685058594,1.955272
3180,Binary classification,Logistic regression,Bananas,0.5433962264150943,0.21767241379310348,0.004240989685058594,2.392062
3286,Binary classification,Logistic regression,Bananas,0.5447352404138771,0.21345951629863302,0.004240989685058594,2.8316
3392,Binary classification,Logistic regression,Bananas,0.5436320754716981,0.21020408163265306,0.004240989685058594,3.27392
3498,Binary classification,Logistic regression,Bananas,0.5454545454545454,0.20579420579420582,0.004240989685058594,3.805361
3604,Binary classification,Logistic regression,Bananas,0.5477247502774695,0.20176297747306565,0.004240989685058594,4.339588
3710,Binary classification,Logistic regression,Bananas,0.5466307277628032,0.1967526265520535,0.004240989685058594,4.8766549999999995
3816,Binary classification,Logistic regression,Bananas,0.5461215932914046,0.19216417910447758,0.004240989685058594,5.480459
3922,Binary classification,Logistic regression,Bananas,0.5471698113207547,0.1882998171846435,0.004240989685058594,6.087054999999999
4028,Binary classification,Logistic regression,Bananas,0.5476663356504469,0.18442256042972244,0.004240989685058594,6.6965509999999995
4134,Binary classification,Logistic regression,Bananas,0.5478955007256894,0.1806225339763262,0.004240989685058594,7.308819
4240,Binary classification,Logistic regression,Bananas,0.5471698113207547,0.17667238421955403,0.004240989685058594,7.967979
4346,Binary classification,Logistic regression,Bananas,0.5473999079613437,0.17456986991187579,0.004240989685058594,8.632634
4452,Binary classification,Logistic regression,Bananas,0.5496406109613656,0.17995910020449898,0.004240989685058594,9.304941
4558,Binary classification,Logistic regression,Bananas,0.5465116279069767,0.1794362842397777,0.004240989685058594,9.981577
4664,Binary classification,Logistic regression,Bananas,0.5463121783876501,0.18615384615384617,0.004240989685058594,10.661059999999999
4770,Binary classification,Logistic regression,Bananas,0.5465408805031446,0.18897637795275588,0.004240989685058594,11.465216999999999
4876,Binary classification,Logistic regression,Bananas,0.5467596390484003,0.18928833455612618,0.004240989685058594,12.272148
4982,Binary classification,Logistic regression,Bananas,0.5467683661180249,0.19586894586894588,0.004240989685058594,13.081882
5088,Binary classification,Logistic regression,Bananas,0.5446147798742138,0.19408695652173913,0.004240989685058594,13.894346
5194,Binary classification,Logistic regression,Bananas,0.5427416249518675,0.19245154709282555,0.004240989685058594,14.753599000000001
5300,Binary classification,Logistic regression,Bananas,0.5430188679245282,0.19534883720930235,0.004240989685058594,15.615751000000001
906,Binary classification,Logistic regression,Elec2,0.7980132450331126,0.7834319526627219,0.0053730010986328125,0.035264
1812,Binary classification,Logistic regression,Elec2,0.8134657836644592,0.7488855869242199,0.0053730010986328125,0.5547719999999999
2718,Binary classification,Logistic regression,Elec2,0.8024282560706402,0.7300150829562596,0.0053730010986328125,1.368608
3624,Binary classification,Logistic regression,Elec2,0.8192604856512141,0.7598093142647598,0.0053730010986328125,2.244469
4530,Binary classification,Logistic regression,Elec2,0.8289183222958058,0.7613181398213735,0.0053730010986328125,3.4516080000000002
5436,Binary classification,Logistic regression,Elec2,0.8226637233259749,0.7528205128205128,0.0053730010986328125,4.879964
6342,Binary classification,Logistic regression,Elec2,0.8229265216020183,0.7589611504614724,0.0053730010986328125,6.612722
7248,Binary classification,Logistic regression,Elec2,0.8261589403973509,0.7617246596066566,0.0053730010986328125,8.385024999999999
8154,Binary classification,Logistic regression,Elec2,0.8318616629874908,0.7833096254148886,0.0053730010986328125,10.19014
9060,Binary classification,Logistic regression,Elec2,0.8375275938189846,0.7975797579757975,0.0053730010986328125,12.067651999999999
9966,Binary classification,Logistic regression,Elec2,0.8377483443708609,0.802008081302804,0.0053730010986328125,14.097259999999999
10872,Binary classification,Logistic regression,Elec2,0.8400478292862399,0.8089220964729151,0.0053730010986328125,16.159807999999998
11778,Binary classification,Logistic regression,Elec2,0.8433520122261844,0.8128613449639923,0.0053730010986328125,18.255160999999998
12684,Binary classification,Logistic regression,Elec2,0.8420056764427626,0.8118309859154929,0.0053730010986328125,20.383276
13590,Binary classification,Logistic regression,Elec2,0.8438557763061074,0.8167846658608184,0.0053730010986328125,22.544252
14496,Binary classification,Logistic regression,Elec2,0.8447847682119205,0.8189863234111022,0.0053730010986328125,24.738207
